FECHA FACT,DESCRIPCIÓN,CANT,P/UNIT,VALOR NETO
17-oct,"PERNO ANCLAJE INOX 3/8X3""",300, $ 585 , $ 175.500 
13-oct,"D.CORTE NEXXO ACERO INOX 7"" X 1.6MM",500, $ 736 , $ 368.115 
13-oct,"D.CORTE NEXXO ACERO INOX 7"" X 1.6MM",500, $ 736 , $ 368.115 
16-oct,"CAP A-234 SCH-80 4""",5, $ 3.967 , $ 19.835 
16-oct,"FLANGE ANSI 300 SLIP-ON A-105 2""",5, $ 8.720 , $ 43.600 
16-oct,"COPLA INOX 316 150 NPT 3""",20, $ 6.998 , $ 139.960 
16-oct,PERFIL RECT INOX 304 80X40X2 MM,30, $ 11.900 , $ 357.000 
17-oct,PERFIL CUAD INOX 304 40X40X3MM,36, $ 13.653 , $ 491.508 
17-oct,PERNO HEX INOX M-5X30MM,50, $ 91 , $ 4.550 
17-oct,TUERCA HEX INOX M-5,50, $ 38 , $ 1.900 
17-oct,GOLILLA PLANA INOX 3/16,50, $ 24 , $ 1.200 
18-oct,"SOPORTE INOX 2""",400, $ 1.700 , $ 680.000 
17-oct,TRAMPA CONDENSADOR TERMODINAMICO C/ FILTRO 1 GENEBRE,1, $ 86.232 , $ 86.232 
17-oct,"D.CORTE PFERD ACERO INOX 7""",25, $ 1.350 , $ 33.750 
17-oct,PERNO PARKER CAB/PLANA INOX M-8X80MM,50, $ 908 , $ 45.400 
17-oct,PERFIL CUAD GALV 50X50X4MM,7, $ 50.682 , $ 354.774 
18-oct,"CURVA 90° INOX 304 SCH - 10 3""",20, $ 10.660 , $ 213.200 
17-oct,FLOTADOR VARILLA S/BOYA 1,5, $ 29.823 , $ 149.115 
18-oct,"TUBO 1/4""X1MM AISI304",50, $ 6.300 , $ 315.000 
,"VALV BOLA INOX 316 2 CC NPT 3"" 1000 WOG",15, $ 57.999 , $ 869.980 
19-oct,"FLANGE INOX 316 ANSI 150 6""",2, $ 62.000 , $ 124.000 
18-oct,PERFIL CUAD INOX 304 30X30X2 MM,42, $ 6.877 , $ 288.826 
,ELECTRODO INOX 308L HYUNDAI 3/32,25, $ 12.633 , $ 315.825 
,ELECTRODO INOX 308L HYUNDAI 3/32,25, $ 12.633 , $ 315.825 
,GOLILLA PLANA INOX 3/8'',200, $ 74 , $ 14.800 
,GOLILLA PLANA INOX M-14,400, $ 370 , $ 148.000 
,TUERCA HEX INOX M-14,100, $ 273 , $ 27.300 
,CHAVETA PARTIDA INOX 1/8''x1.1/2'',20, $ 118 , $ 2.360 
,PERNO HEX INOX M-6x30 mm,200, $ 84 , $ 16.800 
,PERNO INOX CAB AVELLANADA M-6x20 mm,50, $ 193 , $ 9.650 
,PERNO PARKER INOX M-6x50 mm,10, $ 370 , $ 3.700 
20-oct,TUBO INOX 304 EST 4x2.0 mm,90, $ 15.500 , $ 1.395.000 
20-oct,TUBO INOX 304 EST 4x2.0 mm,90, $ 15.500 , $ 1.395.000 
,Valv COMP 200 INOX 316 NPT 1/2'',50, $ 11.000 , $ 550.000 
,ABRAZADERA INOX C/PERNO 44-48 mm,19, $ 2.731 , $ 51.889 
20-oct,COPLA RED INOX 316 150 NPT 1''x1/2'',300, $ 2.250 , $ 675.000 
20-oct,Valv COMP 200 INOX 316 NPT 1/2'',100, $ 9.868 , $ 986.800 
20-oct,"RED CONC INOX 304 SCH-40 2X1""",1, $ 4.600 , $ 4.600 
20-oct,"TEE RED INOX 304 SCH 40 4X2""",1, $ 46.000 , $ 46.000 
23-oct,PLANCHA DIAM NG 3x1000x3000 mm,3, $ 60.857 , $ 182.572 
24-oct,FLANGE INOX 316 ANSI 150 1'',8, $ 9.013 , $ 72.104 
24-oct,Valv GLOBO INOX 316 200 WOG NPT 1/2'',10, $ 8.884 , $ 88.840 
23-oct,ANGULO INOX 316 LAM 40x40x3 mm,96, $ 11.700 , $ 1.123.200 
23-oct,"Valv COMP INOX 316 150lbs C/F 10""",1, $ 1.700.000 , $ 1.700.000 
23-oct,"FLANGE INOX 316 ANSI 150 10""",2, $ 195.000 , $ 390.000 
